Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): May
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","05/01/2023","0802","N479AS","SEA","21:05","20:59","356","389","-6","21:28","29","0","0","27","0","0"
"AS","05/01/2023","0828","N464AS","ANC","22:35","22:22","363","340","-13","22:48","26","0","0","0","0","0"
"AS","05/01/2023","0830","N419AS","SJC","12:45","12:35","315","321","-10","13:01","26","0","0","0","0","0"
"AS","05/01/2023","0834","N938AK","PDX","16:15","16:21","334","347","6","16:48","27","0","0","13","0","6"
"AS","05/01/2023","0848","N467AS","SEA","23:10","23:07","351","365","-3","23:30","23","0","0","0","0","0"
"AS","05/01/2023","0866","N942AK","LAX","14:50","14:42","336","340","-8","15:03","21","0","0","0","0","0"
"AS","05/01/2023","0876","N531AS","SFO","13:40","13:47","320","359","7","14:27","40","7","0","39","0","0"
"AS","05/01/2023","0888","N486AS","SEA","11:10","11:03","352","364","-7","11:29","26","0","0","0","0","0"
"AS","05/01/2023","0892","N423AS","SAN","12:15","12:21","338","340","6","12:45","24","0","0","0","0","0"
"AS","05/01/2023","0896","N913AK","SEA","15:05","15:21","354","348","16","15:39","18","0","0","0","0","0"
"AS","05/02/2023","0802","N468AS","SEA","21:05","21:11","356","367","6","21:35","24","6","0","11","0","0"
"AS","05/02/2023","0828","N457AS","ANC","22:35","22:33","363","370","-2","22:55","22","0","0","0","0","0"
"AS","05/02/2023","0830","N920AK","SJC","12:45","12:38","315","314","-7","13:00","22","0","0","0","0","0"
"AS","05/02/2023","0834","N913AK","PDX","16:15","17:32","334","339","77","17:53","21","77","0","5","0","0"
"AS","05/02/2023","0848","N479AS","SEA","23:10","23:07","351","352","-3","23:29","22","0","0","0","0","0"
"AS","05/02/2023","0866","N919AK","LAX","14:50","15:01","336","327","11","15:19","18","0","0","0","0","0"
"AS","05/02/2023","0876","N534AS","SFO","13:40","14:41","320","313","61","15:04","23","0","0","0","0","54"
"AS","05/02/2023","0888","N493AS","SEA","11:10","11:04","352","359","-6","11:30","26","0","0","0","0","0"
"AS","05/02/2023","0892","N512AS","SAN","12:15","12:13","338","330","-2","12:32","19","0","0","0","0","0"
"AS","05/02/2023","0896","N973AK","SEA","15:05","16:25","354","366","80","16:58","33","27","0","12","0","53"
"AS","05/03/2023","0802","N926AK","SEA","21:05","21:01","356","371","-4","21:21","20","0","0","0","0","0"
"AS","05/03/2023","0828","N467AS","ANC","22:35","22:28","363","378","-7","22:51","23","0","0","0","0","0"
"AS","05/03/2023","0830","N440AS","SJC","12:45","12:41","315","310","-4","13:00","19","0","0","0","0","0"
"AS","05/03/2023","0834","N920AK","PDX","16:15","16:09","334","340","-6","16:26","17","0","0","0","0","0"
"AS","05/03/2023","0848","N921AK","SEA","23:10","23:33","351","360","23","23:52","19","10","0","9","0","13"
"AS","05/03/2023","0866","N977AK","LAX","14:50","14:38","336","332","-12","15:09","31","0","0","0","0","0"
"AS","05/03/2023","0876","N568AS","SFO","13:40","13:36","320","307","-4","13:50","14","0","0","0","0","0"
"AS","05/03/2023","0888","N486AS","SEA","11:10","11:10","352","351","0","11:31","21","0","0","0","0","0"
"AS","05/03/2023","0892","N474AS","SAN","12:15","12:09","338","321","-6","12:32","23","0","0","0","0","0"
"AS","05/03/2023","0896","N469AS","SEA","15:05","15:11","354","367","6","15:29","18","0","0","13","0","6"
"AS","05/04/2023","0802","N921AK","SEA","21:05","21:00","356","356","-5","21:19","19","0","0","0","0","0"
"AS","05/04/2023","0828","N494AS","ANC","22:35","22:28","363","362","-7","22:45","17","0","0","0","0","0"
"AS","05/04/2023","0830","N408AS","SJC","12:45","12:36","315","312","-9","13:02","26","0","0","0","0","0"
"AS","05/04/2023","0834","N433AS","PDX","16:15","16:20","334","337","5","16:38","18","0","0","0","0","0"
"AS","05/04/2023","0848","N467AS","SEA","23:10","23:03","351","374","-7","23:24","21","0","0","16","0","0"
"AS","05/04/2023","0866","N975AK","LAX","14:50","14:40","336","332","-10","15:06","26","0","0","0","0","0"
"AS","05/04/2023","0876","N512AS","SFO","13:40","14:07","320","329","27","14:43","36","27","0","9","0","0"
"AS","05/04/2023","0888","N920AK","SEA","11:10","11:13","352","378","3","11:37","24","0","0","29","0","0"
"AS","05/04/2023","0892","N471AS","SAN","12:15","12:11","338","356","-4","12:46","35","0","0","0","0","0"
"AS","05/04/2023","0896","N403AS","SEA","15:05","15:35","354","354","30","15:56","21","4","0","0","0","26"
"AS","05/05/2023","0802","N928AK","SEA","21:05","21:54","356","369","49","22:19","25","0","0","62","0","0"
"AS","05/05/2023","0828","N468AS","ANC","22:35","22:49","363","371","14","23:13","24","6","0","8","0","8"
"AS","05/05/2023","0830","N935AK","SJC","12:45","13:14","315","336","29","13:50","36","29","0","21","0","0"
"AS","05/05/2023","0834","N924AK","PDX","16:15","16:31","334","350","16","17:01","30","0","0","16","0","16"
"AS","05/05/2023","0848","N403AS","SEA","23:10","23:59","351","367","49","00:29","30","0","0","65","0","0"
"AS","05/05/2023","0866","N941AK","LAX","14:50","15:25","336","335","35","15:45","20","34","0","0","0","0"
"AS","05/05/2023","0876","N586AS","SFO","13:40","13:37","320","333","-3","14:11","34","0","0","0","0","0"
"AS","05/05/2023","0888","N448AS","SEA","11:10","11:26","352","372","16","11:47","21","16","0","20","0","0"
"AS","05/05/2023","0892","N481AS","SAN","12:15","12:20","338","328","5","12:41","21","0","0","0","0","0"
"AS","05/05/2023","0896","N971AK","SEA","15:05","15:04","354","380","-1","15:42","38","0","0","25","0","0"
"AS","05/06/2023","0802","N938AK","SEA","21:05","21:02","356","350","-3","21:28","26","0","0","0","0","0"
"AS","05/06/2023","0828","N978AK","ANC","22:35","22:33","363","365","-2","22:55","22","0","0","0","0","0"
"AS","05/06/2023","0830","N918AK","SJC","12:45","13:22","315","327","37","13:58","36","0","0","24","0","25"
"AS","05/06/2023","0834","N433AS","PDX","16:15","17:01","334","323","46","17:18","17","0","0","0","0","35"
"AS","05/06/2023","0848","N937AK","SEA","23:10","23:02","351","350","-8","23:22","20","0","0","0","0","0"
"AS","05/06/2023","0866","N935AK","LAX","14:50","15:41","336","333","51","16:07","26","0","0","11","0","37"
"AS","05/06/2023","0876","N508AS","SFO","13:40","13:48","320","327","8","14:15","27","1","0","7","0","7"
"AS","05/06/2023","0888","N915AK","SEA","11:10","11:10","352","355","0","11:35","25","0","0","0","0","0"
"AS","05/06/2023","0892","N975AK","SAN","12:15","12:36","338","351","21","13:03","27","21","0","13","0","0"
"AS","05/06/2023","0896","N926AK","SEA","15:05","15:16","354","346","11","15:41","25","0","0","0","0","0"
"AS","05/07/2023","0802","N448AS","SEA","21:05","21:36","356","351","31","21:53","17","26","0","0","0","0"
"AS","05/07/2023","0828","N407AS","ANC","22:35","22:46","363","360","11","23:10","24","0","0","0","0","0"
"AS","05/07/2023","0830","N478AS","SJC","12:45","12:42","315","307","-3","13:04","22","0","0","0","0","0"
"AS","05/07/2023","0834","N468AS","PDX","16:15","16:09","334","335","-6","16:31","22","0","0","0","0","0"
"AS","05/07/2023","0848","N472AS","SEA","23:10","23:36","351","356","26","23:56","20","26","0","5","0","0"
"AS","05/07/2023","0866","N913AK","LAX","14:50","14:46","336","318","-4","15:08","22","0","0","0","0","0"
"AS","05/07/2023","0876","N581AS","SFO","13:40","13:34","320","313","-6","13:57","23","0","0","0","0","0"
"AS","05/07/2023","0888","N433AS","SEA","11:10","11:02","352","364","-8","11:27","25","0","0","0","0","0"
"AS","05/07/2023","0892","N533AS","SAN","12:15","12:10","338","322","-5","12:30","20","0","0","0","0","0"
"AS","05/07/2023","0896","N971AK","SEA","15:05","15:16","354","364","11","15:54","38","0","0","10","0","11"
"AS","05/08/2023","0802","N291BT","SEA","21:05","21:03","356","369","-2","21:25","22","0","0","0","0","0"
"AS","05/08/2023","0828","N952AK","ANC","22:35","22:33","363","354","-2","22:57","24","0","0","0","0","0"
"AS","05/08/2023","0830","N467AS","SJC","12:45","12:42","315","313","-3","13:02","20","0","0","0","0","0"
"AS","05/08/2023","0834","N492AS","PDX","16:15","16:18","334","356","3","16:50","32","0","0","25","0","0"
"AS","05/08/2023","0848","N974AK","SEA","23:10","23:24","351","351","14","23:45","21","0","0","0","0","0"
"AS","05/08/2023","0866","N937AK","LAX","14:50","14:50","336","334","0","15:18","28","0","0","0","0","0"
"AS","05/08/2023","0876","N530AS","SFO","13:40","13:40","320","322","0","14:01","21","0","0","0","0","0"
"AS","05/08/2023","0888","N468AS","SEA","11:10","11:16","352","364","6","11:39","23","6","0","12","0","0"
"AS","05/08/2023","0892","N479AS","SAN","12:15","12:08","338","319","-7","12:26","18","0","0","0","0","0"
"AS","05/08/2023","0896","N941AK","SEA","15:05","16:33","354","370","88","17:09","36","0","0","16","0","88"
"AS","05/09/2023","0802","N419AS","SEA","21:05","21:03","356","336","-2","21:26","23","0","0","0","0","0"
"AS","05/09/2023","0828","N952AK","ANC","22:35","23:29","363","361","54","23:48","19","0","52","0","0","0"
"AS","05/09/2023","0830","N442AS","SJC","12:45","13:23","315","319","38","13:55","32","8","0","4","0","30"
"AS","05/09/2023","0834","N461AS","PDX","16:15","16:28","334","343","13","16:58","30","13","0","9","0","0"
"AS","05/09/2023","0848","N973AK","SEA","23:10","23:21","351","339","11","23:41","20","0","0","0","0","0"
"AS","05/09/2023","0866","N920AK","LAX","14:50","14:51","336","329","1","15:11","20","0","0","0","0","0"
"AS","05/09/2023","0876","N596AS","SFO","13:40","14:02","320","354","22","14:48","46","22","0","34","0","0"
"AS","05/09/2023","0888","N913AK","SEA","11:10","11:05","352","362","-5","11:38","33","0","0","0","0","0"
"AS","05/09/2023","0892","N937AK","SAN","12:15","12:08","338","328","-7","12:32","24","0","0","0","0","0"
"AS","05/09/2023","0896","N481AS","SEA","15:05","15:44","354","351","39","16:10","26","11","0","0","0","25"
"AS","05/10/2023","0802","N472AS","SEA","21:05","21:00","356","336","-5","21:23","23","0","0","0","0","0"
"AS","05/10/2023","0828","N979AK","ANC","22:35","22:42","363","353","7","23:03","21","0","0","0","0","0"
"AS","05/10/2023","0830","N448AS","SJC","12:45","12:59","315","319","14","13:28","29","14","0","4","0","0"
"AS","05/10/2023","0834","N407AS","PDX","16:15","16:19","334","330","4","16:46","27","0","0","0","0","0"
"AS","05/10/2023","0848","N495AS","SEA","23:10","23:22","351","335","12","23:44","22","0","0","0","0","0"
"AS","05/10/2023","0866","N931AK","LAX","14:50","14:51","336","330","1","15:07","16","0","0","0","0","0"
"AS","05/10/2023","0876","N588AS","SFO","13:40","13:33","320","327","-7","14:09","36","0","0","0","0","0"
