Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","04/01/2024","0802","N423AS","SEA","20:22","20:18","344","339","-4","20:43","25","0","0","0","0","0"
"AS","04/01/2024","0816","N469AS","SEA","11:15","11:05","358","343","-10","11:30","25","0","0","0","0","0"
"AS","04/01/2024","0828","N558AS","ANC","21:51","21:48","377","372","-3","22:10","22","0","0","0","0","0"
"AS","04/01/2024","0830","N990AK","SJC","14:00","13:43","317","316","-17","14:12","29","0","0","0","0","0"
"AS","04/01/2024","0834","N920AK","PDX","13:04","13:20","333","336","16","13:57","37","0","0","3","0","16"
"AS","04/01/2024","0848","N486AS","SEA","23:25","23:11","350","333","-14","23:35","24","0","0","0","0","0"
"AS","04/01/2024","0849","N928AK","PAE","14:34","14:31","345","346","-3","15:00","29","0","0","0","0","0"
"AS","04/01/2024","0866","N481AS","LAX","15:29","15:23","330","360","-6","16:02","39","0","0","24","0","0"
"AS","04/01/2024","0876","N974AK","SFO","12:15","12:07","315","325","-8","12:36","29","0","0","0","0","0"
"AS","04/01/2024","0888","N921AK","SEA","07:00","06:56","357","336","-4","07:15","19","0","0","0","0","0"
"AS","04/01/2024","0892","N956AK","SAN","10:45","10:40","340","335","-5","11:02","22","0","0","0","0","0"
"AS","04/01/2024","0896","N468AS","SEA","15:59","16:23","344","330","24","16:43","20","0","0","0","0","0"
"AS","04/02/2024","0802","N928AK","SEA","20:22","21:44","344","328","82","22:04","20","0","0","0","0","66"
"AS","04/02/2024","0816","N481AS","SEA","11:15","11:15","358","316","0","11:37","22","0","0","0","0","0"
"AS","04/02/2024","0828","N942AK","ANC","21:43","21:45","377","369","2","22:16","31","0","0","0","0","0"
"AS","04/02/2024","0830","N943AK","SJC","14:00","14:03","317","296","3","14:24","21","0","0","0","0","0"
"AS","04/02/2024","0834","N933AK","PDX","13:04","13:19","333","309","15","13:44","25","0","0","0","0","0"
"AS","04/02/2024","0848","N952AK","SEA","23:25","23:22","350","339","-3","23:46","24","0","0","0","0","0"
"AS","04/02/2024","0849","N491AS","PAE","14:34","14:37","345","338","3","15:05","28","0","0","0","0","0"
"AS","04/02/2024","0866","N919AK","LAX","15:29","15:26","330","315","-3","15:45","19","0","0","0","0","0"
"AS","04/02/2024","0876","N934AK","SFO","12:15","12:08","315","303","-7","12:35","27","0","0","0","0","0"
"AS","04/02/2024","0888","N469AS","SEA","07:00","06:57","357","322","-3","07:18","21","0","0","0","0","0"
"AS","04/02/2024","0892","N935AK","SAN","10:45","10:37","340","339","-8","11:09","32","0","0","0","0","0"
"AS","04/02/2024","0896","N966AK","SEA","15:59","16:00","344","314","1","16:21","21","0","0","0","0","0"
"AS","04/03/2024","0802","N920AK","SEA","20:22","20:19","344","355","-3","20:41","22","0","0","0","0","0"
"AS","04/03/2024","0816","N926AK","SEA","11:15","11:37","358","356","22","12:03","26","1","0","0","0","19"
"AS","04/03/2024","0828","N915AK","ANC","22:02","22:48","377","348","46","23:07","19","0","0","0","0","17"
"AS","04/03/2024","0830","N491AS","SJC","14:00","14:45","317","299","45","15:03","18","0","0","0","0","27"
"AS","04/03/2024","0834","N984AK","PDX","13:04","13:03","333","336","-1","13:23","20","0","0","0","0","0"
"AS","04/03/2024","0848","N537AS","SEA","23:21","23:41","349","372","20","23:58","17","0","0","23","0","20"
"AS","04/03/2024","0849","N703AL","PAE","14:34","14:27","345","359","-7","14:47","20","0","0","0","0","0"
"AS","04/03/2024","0866","N962AK","LAX","15:29","15:46","330","321","17","16:09","23","0","0","0","0","0"
"AS","04/03/2024","0876","N946AK","SFO","12:15","13:28","315","304","73","13:55","27","62","0","0","0","0"
"AS","04/03/2024","0888","N707AL","SEA","07:00","06:59","357","355","-1","07:23","24","0","0","0","0","0"
"AS","04/03/2024","0892","N973AK","SAN","10:45","11:27","340","310","42","11:50","23","0","0","0","0","0"
"AS","04/03/2024","0896","N974AK","SEA","15:59","16:26","344","350","27","16:42","16","7","0","6","0","20"
"AS","04/04/2024","0802","N703AL","SEA","20:22","20:16","344","353","-6","20:36","20","0","0","0","0","0"
"AS","04/04/2024","0816","N481AS","SEA","11:15","11:47","358","376","32","12:11","24","0","0","18","0","32"
"AS","04/04/2024","0828","N440AS","ANC","21:43","23:04","377","359","81","23:20","16","0","0","0","0","63"
"AS","04/04/2024","0830","N971AK","SJC","14:00","13:48","317","312","-12","14:10","22","0","0","0","0","0"
"AS","04/04/2024","0834","N706AL","PDX","13:04","13:20","333","356","16","13:55","35","16","0","23","0","0"
"AS","04/04/2024","0848","N954AK","SEA","23:25","23:41","350","366","16","00:01","20","0","16","16","0","0"
"AS","04/04/2024","0849","N975AK","PAE","14:34","14:45","345","370","11","15:09","24","0","0","25","0","11"
"AS","04/04/2024","0866","N961AK","LAX","15:29","15:25","330","337","-4","15:54","29","0","0","0","0","0"
"AS","04/04/2024","0876","N487AS","SFO","12:15","12:10","315","321","-5","12:33","23","0","0","0","0","0"
"AS","04/04/2024","0888","N921AK","SEA","07:00","06:54","357","375","-6","07:16","22","0","0","0","0","0"
"AS","04/04/2024","0892","N903AK","SAN","10:45","11:12","340","318","27","11:40","28","0","0","0","0","0"
"AS","04/04/2024","0896","N469AS","SEA","15:59","16:02","344","357","3","16:20","18","0","0","16","0","0"
"AS","04/05/2024","0802","N964AK","SEA","20:22","20:18","344","337","-4","20:38","20","0","0","0","0","0"
"AS","04/05/2024","0816","N961AK","SEA","11:15","11:19","358","355","4","11:45","26","0","0","0","0","0"
"AS","04/05/2024","0828","N494AS","ANC","22:21","22:31","377","375","10","22:54","23","0","0","0","0","0"
"AS","04/05/2024","0830","N928AK","SJC","14:00","14:01","317","290","1","14:15","14","0","0","0","0","0"
"AS","04/05/2024","0834","N481AS","PDX","13:04","12:59","333","331","-5","13:20","21","0","0","0","0","0"
"AS","04/05/2024","0848","N535AS","SEA","23:25","23:10","350","350","-15","23:35","25","0","0","0","0","0"
"AS","04/05/2024","0849","N708AL","PAE","14:34","14:28","345","355","-6","14:57","29","0","0","0","0","0"
"AS","04/05/2024","0866","N912AK","LAX","15:29","15:29","330","318","0","15:45","16","0","0","0","0","0"
"AS","04/05/2024","0876","N557AS","SFO","12:15","12:09","315","315","-6","12:37","28","0","0","0","0","0"
"AS","04/05/2024","0888","N941AK","SEA","07:00","06:51","357","355","-9","07:20","29","0","0","0","0","0"
"AS","04/05/2024","0892","N969AK","SAN","10:45","10:35","340","322","-10","11:00","25","0","0","0","0","0"
"AS","04/05/2024","0896","N462AS","SEA","15:59","15:47","344","349","-12","16:11","24","0","0","0","0","0"
"AS","04/06/2024","0802","N442AS","SEA","20:22","20:06","344","378","-16","20:37","31","0","0","18","0","0"
