carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-03-01,802,N492AS,SEA,21:05:00,21:18:00,355,335,13,21:33:00,15,0,0,0,0,0
AS,2023-03-01,828,N956AK,ANC,23:45:00,23:36:00,368,378,-9,00:04:00,28,0,0,0,0,0
AS,2023-03-01,834,N407AS,PDX,16:55:00,17:10:00,340,335,15,17:29:00,19,0,0,0,0,0
AS,2023-03-01,848,N462AS,SEA,23:55:00,23:48:00,355,354,-7,00:12:00,24,0,0,0,0,0
AS,2023-03-01,866,N935AK,LAX,16:20:00,16:22:00,330,338,2,16:42:00,20,0,0,0,0,0
AS,2023-03-01,876,N464AS,SFO,13:45:00,13:48:00,313,319,3,14:09:00,21,0,0,0,0,0
AS,2023-03-01,888,N434AS,SEA,12:10:00,12:06:00,355,373,-4,12:34:00,28,0,0,0,0,0
AS,2023-03-01,892,N978AK,SAN,14:40:00,14:38:00,330,337,-2,14:56:00,18,0,0,0,0,0
AS,2023-03-01,896,N570AS,SEA,15:20:00,15:26:00,355,349,6,15:45:00,19,0,0,0,0,0
AS,2023-03-02,802,N956AK,SEA,21:05:00,22:12:00,355,359,67,22:38:00,26,30,0,4,0,37
AS,2023-03-02,828,N934AK,ANC,23:45:00,23:54:00,368,387,9,00:26:00,32,0,0,19,0,9
AS,2023-03-02,830,N493AS,SJC,13:10:00,13:27:00,314,302,17,13:47:00,20,0,0,0,0,0
AS,2023-03-02,834,N978AK,PDX,16:55:00,17:13:00,340,320,18,17:31:00,18,0,0,0,0,0
AS,2023-03-02,848,N929AK,SEA,23:55:00,00:42:00,355,355,47,01:08:00,26,0,0,0,0,47
AS,2023-03-02,852,N530AS,LAX,22:30:00,23:28:00,330,339,58,23:49:00,21,0,0,9,0,58
AS,2023-03-02,858,N926AK,PDX,22:20:00,22:11:00,335,336,-9,22:33:00,22,0,0,0,0,0
AS,2023-03-02,866,N442AS,LAX,16:30:00,16:26:00,329,316,-4,16:44:00,18,0,0,0,0,0
AS,2023-03-02,876,N592AS,SFO,13:45:00,13:57:00,313,308,12,14:13:00,16,0,0,0,0,0
AS,2023-03-02,888,N407AS,SEA,12:10:00,12:02:00,355,343,-8,12:20:00,18,0,0,0,0,0
AS,2023-03-02,892,N468AS,SAN,14:40:00,14:43:00,330,326,3,15:01:00,18,0,0,0,0,0
AS,2023-03-02,896,N973AK,SEA,15:20:00,15:41:00,355,346,21,16:02:00,21,0,0,0,0,0
AS,2023-03-03,802,N938AK,SEA,21:05:00,21:04:00,355,326,-1,21:22:00,18,0,0,0,0,0
AS,2023-03-03,828,N419AS,ANC,23:45:00,01:16:00,368,378,91,01:39:00,23,27,0,10,0,64
AS,2023-03-03,834,N495AS,PDX,16:55:00,17:36:00,340,311,41,17:58:00,22,0,0,0,0,0
AS,2023-03-03,848,N976AK,SEA,23:55:00,00:15:00,355,328,20,00:31:00,16,0,0,0,0,0
AS,2023-03-03,866,N978AK,LAX,16:20:00,16:10:00,330,316,-10,16:27:00,17,0,0,0,0,0
AS,2023-03-03,876,N471AS,SFO,13:45:00,13:52:00,313,293,7,14:13:00,21,0,0,0,0,0
AS,2023-03-03,888,N921AK,SEA,12:10:00,12:15:00,355,331,5,12:39:00,24,0,0,0,0,0
AS,2023-03-03,892,N440AS,SAN,14:40:00,14:30:00,330,327,-10,14:50:00,20,0,0,0,0,0
AS,2023-03-03,896,N566AS,SEA,15:20:00,15:21:00,355,339,1,15:43:00,22,0,0,0,0,0
AS,2023-03-04,802,N949AK,SEA,21:05:00,20:53:00,355,348,-12,21:22:00,29,0,0,0,0,0
AS,2023-03-04,828,N434AS,ANC,23:45:00,23:51:00,368,367,6,00:14:00,23,0,0,0,0,0
AS,2023-03-04,830,N597AS,SJC,15:15:00,15:14:00,313,313,-1,15:55:00,41,0,0,0,0,0
AS,2023-03-04,834,N926AK,PDX,16:55:00,17:02:00,340,326,7,17:23:00,21,0,0,0,0,0
AS,2023-03-04,848,N979AK,SEA,23:55:00,00:10:00,355,345,15,00:30:00,20,0,0,0,0,0
AS,2023-03-04,852,N919AK,LAX,22:30:00,23:37:00,330,313,67,23:59:00,22,0,0,0,0,50
AS,2023-03-04,858,N956AK,PDX,22:20:00,22:14:00,335,328,-6,22:37:00,23,0,0,0,0,0
AS,2023-03-04,866,N464AS,LAX,16:20:00,16:24:00,330,315,4,16:50:00,26,0,0,0,0,0
AS,2023-03-04,876,N937AK,SFO,13:45:00,14:09:00,313,294,24,14:33:00,24,0,0,0,0,0
AS,2023-03-04,886,N492AS,SAN,13:10:00,13:37:00,332,312,27,14:01:00,24,0,0,0,0,0
AS,2023-03-04,888,N493AS,SEA,12:10:00,12:11:00,355,357,1,12:38:00,27,0,0,0,0,0
AS,2023-03-04,896,N928AK,SEA,14:40:00,15:12:00,355,349,32,15:35:00,23,26,0,0,0,0
AS,2023-03-05,802,N936AK,SEA,21:05:00,21:34:00,355,355,29,21:58:00,24,29,0,0,0,0
AS,2023-03-05,828,N941AK,ANC,23:45:00,23:32:00,368,369,-13,00:04:00,32,0,0,0,0,0
AS,2023-03-05,834,N442AS,PDX,16:55:00,16:47:00,340,335,-8,17:13:00,26,0,0,0,0,0
AS,2023-03-05,840,N971AK,SJC,12:50:00,12:41:00,314,305,-9,13:12:00,31,0,0,0,0,0
AS,2023-03-05,848,N937AK,SEA,23:55:00,23:50:00,355,356,-5,00:14:00,24,0,0,0,0,0
AS,2023-03-05,852,N921AK,LAX,22:30:00,22:41:00,330,334,11,23:14:00,33,0,0,4,0,11
AS,2023-03-05,858,N462AS,PDX,22:20:00,22:08:00,335,337,-12,22:31:00,23,0,0,0,0,0
