carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-04-01,802,N423AS,SEA,20:30:00,20:31:00,345,336,1,20:55:00,24,0,0,0,0,0
AS,2023-04-01,828,N467AS,ANC,22:30:00,22:26:00,375,365,-4,22:49:00,23,0,0,0,0,0
AS,2023-04-01,830,N428AS,SJC,12:55:00,13:13:00,312,310,18,13:36:00,23,16,0,0,0,0
AS,2023-04-01,834,N402AS,PDX,16:20:00,16:38:00,335,325,18,17:01:00,23,0,0,0,0,0
AS,2023-04-01,848,N431AS,SEA,22:40:00,23:37:00,350,343,57,23:58:00,21,0,0,0,0,50
AS,2023-04-01,866,N588AS,LAX,12:20:00,12:16:00,334,348,-4,12:46:00,30,0,0,0,0,0
AS,2023-04-01,876,N563AS,SFO,13:45:00,00:00:00,320,0,0,00:00:00,0,0,0,0,0,0
AS,2023-04-01,888,N953AK,SEA,11:20:00,11:24:00,356,338,4,11:45:00,21,0,0,0,0,0
AS,2023-04-01,892,N935AK,SAN,14:50:00,14:38:00,335,343,-12,15:09:00,31,0,0,0,0,0
AS,2023-04-02,802,N477AS,SEA,20:30:00,20:24:00,345,360,-6,20:51:00,27,0,0,0,0,0
AS,2023-04-02,828,N468AS,ANC,23:00:00,00:29:00,375,357,89,00:46:00,17,0,71,0,0,0
AS,2023-04-02,830,N978AK,SJC,12:55:00,13:04:00,312,311,9,13:33:00,29,0,0,0,0,0
AS,2023-04-02,834,N929AK,PDX,16:20:00,17:08:00,335,340,48,17:32:00,24,0,0,5,0,48
AS,2023-04-02,848,N464AS,SEA,22:40:00,00:41:00,350,352,121,00:57:00,16,121,0,2,0,0
AS,2023-04-02,866,N583AS,LAX,12:20:00,12:43:00,334,331,23,13:05:00,22,20,0,0,0,0
AS,2023-04-02,876,N533AS,SFO,13:45:00,14:07:00,320,323,22,14:36:00,29,0,8,3,0,14
AS,2023-04-02,888,N946AK,SEA,11:20:00,11:13:00,356,356,-7,11:41:00,28,0,0,0,0,0
AS,2023-04-02,892,N919AK,SAN,14:50:00,15:56:00,335,319,66,16:17:00,21,0,0,0,0,50
AS,2023-04-02,896,N974AK,SEA,15:15:00,15:59:00,344,346,44,16:23:00,24,44,0,2,0,0
AS,2023-04-03,802,N409AS,SEA,20:30:00,20:40:00,345,381,10,21:07:00,27,10,0,36,0,0
AS,2023-04-03,828,N971AK,ANC,23:00:00,22:57:00,375,360,-3,23:25:00,28,0,0,0,0,0
AS,2023-04-03,830,N953AK,SJC,12:55:00,12:51:00,312,312,-4,13:19:00,28,0,0,0,0,0
AS,2023-04-03,834,N403AS,PDX,16:20:00,17:30:00,335,340,70,17:50:00,20,4,0,5,0,66
AS,2023-04-03,848,N934AK,SEA,22:40:00,01:52:00,350,368,192,02:23:00,31,0,0,18,0,192
AS,2023-04-03,866,N949AK,LAX,12:20:00,12:20:00,334,329,0,12:47:00,27,0,0,0,0,0
AS,2023-04-03,876,N590AS,SFO,13:45:00,13:39:00,320,311,-6,13:53:00,14,0,0,0,0,0
AS,2023-04-03,888,N929AK,SEA,11:20:00,11:35:00,356,348,15,11:56:00,21,0,0,0,0,0
AS,2023-04-03,892,N913AK,SAN,14:50:00,15:03:00,335,323,13,15:27:00,24,0,0,0,0,0
AS,2023-04-03,896,N486AS,SEA,15:15:00,15:36:00,344,364,21,16:01:00,25,2,0,20,0,19
AS,2023-04-04,802,N958AK,SEA,20:30:00,20:36:00,345,345,6,21:00:00,24,0,0,0,0,0
AS,2023-04-04,830,N477AS,SJC,12:55:00,12:57:00,312,305,2,13:21:00,24,0,0,0,0,0
AS,2023-04-04,834,N929AK,PDX,16:20:00,16:58:00,335,320,38,17:18:00,20,0,0,0,0,23
AS,2023-04-04,848,N440AS,SEA,22:40:00,22:52:00,350,374,12,23:18:00,26,12,0,24,0,0
AS,2023-04-04,866,N921AK,LAX,12:20:00,12:21:00,334,321,1,12:43:00,22,0,0,0,0,0
AS,2023-04-04,876,N569AS,SFO,13:45:00,13:53:00,320,307,8,14:10:00,17,0,0,0,0,0
AS,2023-04-04,888,N946AK,SEA,11:20:00,11:20:00,356,377,0,12:10:00,50,0,0,21,0,0
AS,2023-04-04,892,N409AS,SAN,14:50:00,15:11:00,334,309,21,15:29:00,18,0,0,0,0,0
AS,2023-04-04,896,N535AS,SEA,15:15:00,15:43:00,344,347,28,16:14:00,31,4,0,3,0,24
AS,2023-04-05,802,N423AS,SEA,20:30:00,20:19:00,345,338,-11,20:44:00,25,0,0,0,0,0
AS,2023-04-05,828,N534AS,ANC,23:00:00,23:41:00,375,382,41,00:03:00,22,41,0,7,0,0
AS,2023-04-05,830,N953AK,SJC,12:55:00,13:04:00,312,326,9,13:41:00,37,0,0,14,2,7
