carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-11-01,802,N903AK,SEA,20:10:00,20:21:00,358,364,11,20:47:00,26,0,0,6,0,11
AS,2023-11-01,804,N942AK,SFO,22:40:00,23:30:00,315,307,50,23:50:00,20,0,0,0,0,42
AS,2023-11-01,816,N479AS,SEA,07:00:00,06:54:00,360,354,-6,07:29:00,35,0,0,0,0,0
AS,2023-11-01,828,N530AS,ANC,22:00:00,22:57:00,362,361,57,23:22:00,25,0,0,0,0,56
AS,2023-11-01,830,N964AK,SJC,12:40:00,12:44:00,318,306,4,13:10:00,26,0,0,0,0,0
AS,2023-11-01,834,N982AK,PDX,15:40:00,16:47:00,339,318,67,17:11:00,24,12,0,0,0,34
AS,2023-11-01,848,N943AK,SEA,23:30:00,23:20:00,355,371,-10,23:39:00,19,0,0,0,0,0
AS,2023-11-01,866,N929AK,LAX,15:15:00,15:01:00,342,374,-14,15:25:00,24,0,0,18,0,0
AS,2023-11-01,876,N926AK,SFO,11:00:00,10:53:00,320,295,-7,11:07:00,14,0,0,0,0,0
AS,2023-11-01,888,N990AK,SEA,10:35:00,10:33:00,359,336,-2,10:55:00,22,0,0,0,0,0
AS,2023-11-01,892,N963AK,SAN,13:19:00,13:20:00,342,335,1,13:35:00,15,0,0,0,0,0
AS,2023-11-01,896,N433AS,SEA,14:10:00,15:12:00,358,342,62,15:33:00,21,46,0,0,0,0
AS,2023-11-02,802,N972AK,SEA,20:10:00,20:17:00,358,349,7,20:47:00,30,0,0,0,0,0
AS,2023-11-02,804,N472AS,SFO,22:40:00,22:42:00,315,307,2,23:05:00,23,0,0,0,0,0
AS,2023-11-02,816,N990AK,SEA,07:00:00,06:47:00,360,344,-13,07:14:00,27,0,0,0,0,0
AS,2023-11-02,828,N973AK,ANC,22:00:00,21:50:00,362,360,-10,22:08:00,18,0,0,0,0,0
AS,2023-11-02,830,N971AK,SJC,12:40:00,12:40:00,318,325,0,13:08:00,28,0,0,0,0,0
AS,2023-11-02,834,N984AK,PDX,15:40:00,15:33:00,339,336,-7,15:53:00,20,0,0,0,0,0
AS,2023-11-02,848,N934AK,SEA,23:30:00,23:17:00,355,361,-13,23:41:00,24,0,0,0,0,0
AS,2023-11-02,866,N402AS,LAX,15:15:00,15:05:00,342,379,-10,15:26:00,21,0,0,27,0,0
AS,2023-11-02,876,N968AK,SFO,11:00:00,11:07:00,320,297,7,11:24:00,17,0,0,0,0,0
AS,2023-11-02,888,N491AS,SEA,10:35:00,10:29:00,359,366,-6,10:59:00,30,0,0,0,0,0
AS,2023-11-02,892,N946AK,SAN,13:19:00,13:46:00,342,357,27,14:13:00,27,27,0,15,0,0
AS,2023-11-02,896,N915AK,SEA,14:10:00,14:02:00,358,382,-8,14:22:00,20,0,0,16,0,0
AS,2023-11-03,802,N936AK,SEA,20:10:00,20:47:00,358,316,37,21:14:00,27,0,0,0,0,0
AS,2023-11-03,804,N960AK,SFO,22:40:00,22:43:00,315,296,3,23:06:00,23,0,0,0,0,0
AS,2023-11-03,816,N918AK,SEA,07:00:00,06:47:00,360,346,-13,07:15:00,28,0,0,0,0,0
AS,2023-11-03,828,N933AK,ANC,22:00:00,22:30:00,362,388,30,22:49:00,19,0,0,26,0,30
AS,2023-11-03,830,N512AS,SJC,12:40:00,12:36:00,318,303,-4,12:56:00,20,0,0,0,0,0
AS,2023-11-03,834,N495AS,PDX,15:40:00,17:06:00,339,312,86,17:38:00,32,59,0,0,0,0
AS,2023-11-03,848,N917AK,SEA,23:30:00,01:19:00,355,324,109,01:49:00,30,0,0,0,0,78
AS,2023-11-03,866,N403AS,LAX,15:15:00,15:47:00,342,353,32,16:10:00,23,32,0,11,0,0
AS,2023-11-03,876,N942AK,SFO,10:35:00,10:26:00,320,318,-9,11:07:00,41,0,0,0,0,0
AS,2023-11-03,888,N917AK,SEA,11:00:00,10:56:00,359,325,-4,11:22:00,26,0,0,0,0,0
AS,2023-11-03,892,N594AS,SAN,13:19:00,13:11:00,342,322,-8,13:26:00,15,0,0,0,0,0
AS,2023-11-03,896,N946AK,SEA,14:10:00,14:04:00,358,327,-6,14:24:00,20,0,0,0,0,0
AS,2023-11-04,802,N990AK,SEA,21:10:00,21:02:00,358,344,-8,21:46:00,44,0,0,0,0,0
AS,2023-11-04,804,N933AK,SFO,23:33:00,23:27:00,317,293,-6,23:44:00,17,0,0,0,0,0
AS,2023-11-04,816,N913AK,SEA,07:00:00,06:55:00,360,315,-5,07:19:00,24,0,0,0,0,0
AS,2023-11-04,828,N943AK,ANC,22:00:00,22:17:00,362,383,17,22:42:00,25,0,0,21,0,17
AS,2023-11-04,830,N936AK,SJC,12:40:00,13:23:00,318,294,43,13:48:00,25,0,0,0,0,19
AS,2023-11-04,834,N903AK,PDX,15:40:00,16:46:00,339,303,66,17:02:00,16,0,0,0,0,30
AS,2023-11-04,866,N419AS,LAX,15:15:00,15:39:00,342,310,24,16:01:00,22,0,0,0,0,0
AS,2023-11-04,876,N982AK,SFO,11:00:00,11:07:00,320,294,7,11:28:00,21,0,0,0,0,0
AS,2023-11-04,888,N985AK,SEA,10:35:00,10:41:00,359,322,6,11:01:00,20,0,0,0,0,0
AS,2023-11-04,892,N919AK,SAN,13:19:00,13:14:00,342,312,-5,13:33:00,19,0,0,0,0,0
AS,2023-11-04,896,N479AS,SEA,14:10:00,14:31:00,358,327,21,14:57:00,26,0,0,0,0,0
