carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2024-07-01,293,N531AS,SEA,23:00:00,23:35:00,350,357,35,00:00:00,25,5,0,7,0,30
AS,2024-07-01,571,N464AS,SFO,21:35:00,21:22:00,310,315,-13,21:47:00,25,0,0,0,0,0
AS,2024-07-01,802,N976AK,SEA,20:10:00,20:06:00,350,335,-4,20:26:00,20,0,0,0,0,0
AS,2024-07-01,816,N968AK,SEA,10:32:00,10:27:00,353,345,-5,10:49:00,22,0,0,0,0,0
AS,2024-07-01,828,N937AK,ANC,21:07:00,21:00:00,373,322,-7,21:23:00,23,0,0,0,0,0
AS,2024-07-01,830,N952AK,SJC,15:48:00,15:45:00,311,322,-3,16:08:00,23,0,0,0,0,0
AS,2024-07-01,834,N928AK,PDX,12:00:00,11:57:00,330,335,-3,12:22:00,25,0,0,0,0,0
AS,2024-07-01,866,N958AK,LAX,14:05:00,14:00:00,340,342,-5,14:24:00,24,0,0,0,0,0
AS,2024-07-01,876,N495AS,SFO,13:18:00,13:12:00,307,321,-6,13:39:00,27,0,0,0,0,0
AS,2024-07-01,888,N408AS,SEA,07:00:00,06:56:00,353,349,-4,07:21:00,25,0,0,0,0,0
AS,2024-07-01,892,N440AS,SAN,11:04:00,11:11:00,337,361,7,11:36:00,25,7,0,24,0,0
AS,2024-07-01,896,N407AS,SEA,15:09:00,15:01:00,350,349,-8,15:21:00,20,0,0,0,0,0
AS,2024-07-01,1110,N962AK,SAN,22:38:00,22:33:00,337,352,-5,23:06:00,33,0,0,0,0,0
AS,2024-07-02,293,N566AS,SEA,23:00:00,22:53:00,350,344,-7,23:21:00,28,0,0,0,0,0
AS,2024-07-02,571,N419AS,SFO,21:35:00,21:25:00,310,316,-10,21:53:00,28,0,0,0,0,0
AS,2024-07-02,802,N932AK,SEA,20:10:00,20:09:00,350,344,-1,20:34:00,25,0,0,0,0,0
AS,2024-07-02,816,N703AL,SEA,10:32:00,11:26:00,353,332,54,11:47:00,21,0,0,0,0,33
AS,2024-07-02,828,N919AK,ANC,21:07:00,20:54:00,373,348,-13,21:24:00,30,0,0,0,0,0
AS,2024-07-02,830,N720AL,SJC,15:48:00,16:03:00,311,306,15,16:18:00,15,0,0,0,0,0
AS,2024-07-02,834,N954AK,PDX,12:00:00,12:29:00,330,329,29,12:56:00,27,12,0,0,0,16
AS,2024-07-02,866,N931AK,LAX,14:05:00,13:57:00,340,351,-8,14:24:00,27,0,0,0,0,0
AS,2024-07-02,876,N471AS,SFO,13:18:00,13:12:00,307,324,-6,13:45:00,33,0,0,0,0,0
AS,2024-07-02,888,N961AK,SEA,07:00:00,07:05:00,353,336,5,07:23:00,18,0,0,0,0,0
AS,2024-07-02,892,N915AK,SAN,11:04:00,10:59:00,337,380,-5,11:22:00,23,0,0,38,0,0
AS,2024-07-02,896,N483AS,SEA,15:09:00,15:02:00,350,352,-7,15:21:00,19,0,0,0,0,0
AS,2024-07-02,1110,N560AS,SAN,22:38:00,22:54:00,337,344,16,23:13:00,19,0,0,7,0,16
AS,2024-07-03,293,N590AS,SEA,23:00:00,22:55:00,350,343,-5,23:29:00,34,0,0,0,0,0
AS,2024-07-03,571,N924AK,SFO,21:35:00,21:26:00,310,312,-9,21:52:00,26,0,0,0,0,0
AS,2024-07-03,802,N491AS,SEA,20:10:00,20:00:00,350,329,-10,20:22:00,22,0,0,0,0,0
AS,2024-07-03,816,N720AL,SEA,10:32:00,10:21:00,353,333,-11,10:45:00,24,0,0,0,0,0
AS,2024-07-03,828,N952AK,ANC,21:07:00,21:00:00,373,354,-7,21:17:00,17,0,0,0,0,0
AS,2024-07-03,830,N407AS,SJC,15:48:00,16:06:00,311,323,18,16:38:00,32,0,0,12,0,18
AS,2024-07-03,834,N481AS,PDX,12:00:00,11:50:00,330,331,-10,12:18:00,28,0,0,0,0,0
AS,2024-07-03,866,N953AK,LAX,14:05:00,16:08:00,340,333,123,16:26:00,18,116,0,0,0,0
AS,2024-07-03,876,N291BT,SFO,13:18:00,13:18:00,307,318,0,13:44:00,26,0,0,0,0,0
AS,2024-07-03,888,N928AK,SEA,07:00:00,06:49:00,353,341,-11,07:13:00,24,0,0,0,0,0
AS,2024-07-03,892,N949AK,SAN,11:04:00,10:54:00,337,333,-10,11:10:00,16,0,0,0,0,0
AS,2024-07-03,896,N479AS,SEA,15:09:00,15:03:00,350,344,-6,15:25:00,22,0,0,0,0,0
AS,2024-07-03,1110,N586AS,SAN,22:38:00,22:52:00,337,346,14,23:22:00,30,0,0,9,0,14
AS,2024-07-04,293,N518AS,SEA,23:00:00,22:56:00,350,336,-4,23:17:00,21,0,0,0,0,0
AS,2024-07-04,571,N956AK,SFO,21:35:00,22:41:00,310,305,66,23:02:00,21,61,0,0,0,0
AS,2024-07-04,802,N919AK,SEA,20:10:00,20:09:00,350,333,-1,20:35:00,26,0,0,0,0,0
AS,2024-07-04,816,N407AS,SEA,10:32:00,10:18:00,353,331,-14,10:35:00,17,0,0,0,0,0
AS,2024-07-04,828,N928AK,ANC,21:07:00,21:00:00,373,366,-7,21:20:00,20,0,0,0,0,0
AS,2024-07-04,830,N487AS,SJC,15:48:00,15:43:00,311,315,-5,16:05:00,22,0,0,0,0,0
AS,2024-07-04,834,N408AS,PDX,12:00:00,11:54:00,330,324,-6,12:15:00,21,0,0,0,0,0
AS,2024-07-04,866,N708AL,LAX,14:05:00,14:02:00,340,322,-3,14:17:00,15,0,0,0,0,0
AS,2024-07-04,876,N932AK,SFO,13:18:00,13:10:00,307,303,-8,13:27:00,17,0,0,0,0,0
AS,2024-07-04,888,N709AL,SEA,07:00:00,07:04:00,353,330,4,07:21:00,17,0,0,0,0,0
AS,2024-07-04,892,N457AS,SAN,11:04:00,10:53:00,337,345,-11,11:14:00,21,0,0,0,0,0
AS,2024-07-04,896,N472AS,SEA,15:09:00,14:55:00,350,339,-14,15:17:00,22,0,0,0,0,0
