carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-12-01,802,N462AS,SEA,21:00:00,20:49:00,360,342,-11,21:18:00,29,0,0,0,0,0
AS,2023-12-01,804,N937AK,PAE,23:30:00,23:33:00,363,338,3,23:54:00,21,0,0,0,0,0
AS,2023-12-01,816,N457AS,SEA,12:14:00,12:05:00,357,354,-9,12:38:00,33,0,0,0,0,0
AS,2023-12-01,828,N464AS,ANC,22:12:00,21:56:00,375,336,-16,22:15:00,19,0,0,0,0,0
AS,2023-12-01,830,N938AK,SJC,16:40:00,16:37:00,319,300,-3,16:59:00,22,0,0,0,0,0
AS,2023-12-01,834,N433AS,PDX,15:25:00,17:49:00,338,333,144,18:21:00,32,0,0,0,0,139
AS,2023-12-01,848,N968AK,SEA,23:59:00,00:40:00,360,342,41,01:00:00,20,0,0,0,0,23
AS,2023-12-01,866,N972AK,LAX,14:36:00,14:30:00,335,324,-6,14:50:00,20,0,0,0,0,0
AS,2023-12-01,876,N964AK,SFO,11:57:00,11:56:00,316,309,-1,12:25:00,29,0,0,0,0,0
AS,2023-12-01,888,N955AK,SEA,07:00:00,07:09:00,357,338,9,07:25:00,16,0,0,0,0,0
AS,2023-12-01,892,N982AK,SAN,13:25:00,13:22:00,340,326,-3,13:45:00,23,0,0,0,0,0
AS,2023-12-01,896,N963AK,SEA,17:00:00,17:10:00,357,337,10,17:30:00,20,0,0,0,0,0
AS,2023-12-02,802,N984AK,SEA,21:00:00,20:59:00,360,325,-1,21:21:00,22,0,0,0,0,0
AS,2023-12-02,804,N491AS,PAE,23:30:00,23:23:00,363,340,-7,23:38:00,15,0,0,0,0,0
AS,2023-12-02,816,N972AK,SEA,12:14:00,12:12:00,357,342,-2,12:38:00,26,0,0,0,0,0
AS,2023-12-02,828,N570AS,ANC,22:12:00,22:06:00,375,369,-6,22:27:00,21,0,0,0,0,0
