carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-06-01,802,N486AS,SEA,21:10:00,21:02:00,353,326,-8,21:24:00,22,0,0,0,0,0
AS,2023-06-01,828,N459AS,ANC,22:55:00,23:50:00,365,409,55,00:13:00,23,0,0,99,0,0
AS,2023-06-01,830,N442AS,SJC,12:20:00,12:21:00,319,304,1,12:46:00,25,0,0,0,0,0
AS,2023-06-01,834,N579AS,PDX,16:25:00,16:30:00,334,324,5,16:55:00,25,0,0,0,0,0
AS,2023-06-01,848,N919AK,SEA,23:20:00,23:10:00,353,322,-10,23:31:00,21,0,0,0,0,0
AS,2023-06-01,866,N920AK,LAX,10:55:00,11:01:00,344,313,6,11:22:00,21,0,0,0,0,0
AS,2023-06-01,876,N516AS,SFO,13:50:00,13:42:00,322,298,-8,14:03:00,21,0,0,0,0,0
AS,2023-06-01,888,N972AK,SEA,11:20:00,11:29:00,353,330,9,11:50:00,21,0,0,0,0,0
AS,2023-06-01,892,N512AS,SAN,15:15:00,15:10:00,344,311,-5,15:25:00,15,0,0,0,0,0
AS,2023-06-01,896,N953AK,SEA,14:40:00,14:57:00,351,339,17,15:20:00,23,0,0,0,0,0
AS,2023-06-02,802,N459AS,SEA,21:10:00,21:03:00,353,349,-7,21:31:00,28,0,0,0,0,0
AS,2023-06-02,828,N919AK,ANC,22:55:00,23:12:00,365,345,17,23:28:00,16,0,0,0,0,0
AS,2023-06-02,830,N955AK,SJC,12:20:00,12:56:00,319,303,36,13:20:00,24,20,0,0,0,0
AS,2023-06-02,834,N563AS,PDX,16:25:00,17:57:00,334,329,92,18:22:00,25,0,0,0,0,87
AS,2023-06-02,848,N978AK,SEA,23:20:00,23:17:00,353,361,-3,23:47:00,30,0,0,0,0,0
AS,2023-06-02,866,N423AS,LAX,10:55:00,11:14:00,344,322,19,11:45:00,31,0,0,0,0,0
AS,2023-06-02,876,N512AS,SFO,13:50:00,13:50:00,322,299,0,14:07:00,17,0,0,0,0,0
AS,2023-06-02,888,N407AS,SEA,11:20:00,12:01:00,353,337,41,12:18:00,17,25,0,0,0,0
AS,2023-06-02,892,N935AK,SAN,15:15:00,15:44:00,344,315,29,16:09:00,25,0,0,0,0,0
AS,2023-06-02,896,N974AK,SEA,14:40:00,14:44:00,351,348,4,15:12:00,28,0,0,0,0,0
AS,2023-06-03,802,N964AK,SEA,21:10:00,21:07:00,353,360,-3,21:30:00,23,0,0,0,0,0
AS,2023-06-03,828,N918AK,ANC,22:55:00,22:46:00,365,343,-9,23:05:00,19,0,0,0,0,0
AS,2023-06-03,830,N946AK,SJC,12:20:00,12:21:00,319,300,1,12:41:00,20,0,0,0,0,0
AS,2023-06-03,834,N938AK,PDX,16:25:00,16:24:00,334,341,-1,16:49:00,25,0,0,0,0,0
AS,2023-06-03,848,N483AS,SEA,23:20:00,23:11:00,353,349,-9,23:34:00,23,0,0,0,0,0
AS,2023-06-03,866,N419AS,LAX,10:55:00,10:54:00,344,313,-1,11:20:00,26,0,0,0,0,0
AS,2023-06-03,876,N534AS,SFO,13:50:00,13:42:00,322,319,-8,14:09:00,27,0,0,0,0,0
AS,2023-06-03,888,N469AS,SEA,11:20:00,11:22:00,353,359,2,11:43:00,21,0,0,0,0,0
AS,2023-06-03,892,N563AS,SAN,15:15:00,15:30:00,344,302,15,15:49:00,19,0,0,0,0,0
AS,2023-06-03,896,N955AK,SEA,14:40:00,15:04:00,351,352,24,15:30:00,26,8,0,1,0,16
AS,2023-06-04,802,N936AK,SEA,21:10:00,20:57:00,353,357,-13,21:18:00,21,0,0,0,0,0
AS,2023-06-04,828,N469AS,ANC,22:55:00,22:50:00,365,364,-5,23:13:00,23,0,0,0,0,0
AS,2023-06-04,830,N972AK,SJC,12:20:00,12:18:00,319,308,-2,12:40:00,22,0,0,0,0,0
AS,2023-06-04,834,N592AS,PDX,16:25:00,16:14:00,334,332,-11,16:32:00,18,0,0,0,0,0
AS,2023-06-04,848,N534AS,SEA,23:20:00,23:14:00,353,329,-6,23:28:00,14,0,0,0,0,0
AS,2023-06-04,866,N462AS,LAX,10:55:00,10:47:00,344,309,-8,11:15:00,28,0,0,0,0,0
AS,2023-06-04,876,N589AS,SFO,13:50:00,13:45:00,322,313,-5,14:15:00,30,0,0,0,0,0
AS,2023-06-04,888,N494AS,SEA,11:20:00,11:36:00,353,350,16,11:57:00,21,0,0,0,0,0
AS,2023-06-04,892,N597AS,SAN,15:15:00,15:08:00,344,306,-7,15:29:00,21,0,0,0,0,0
AS,2023-06-04,896,N946AK,SEA,14:40:00,14:47:00,351,360,7,15:16:00,29,0,0,9,0,7
AS,2023-06-05,802,N934AK,SEA,21:10:00,21:00:00,353,367,-10,21:20:00,20,0,0,0,0,0
AS,2023-06-05,828,N462AS,ANC,22:55:00,22:50:00,365,381,-5,23:19:00,29,0,0,0,0,0
AS,2023-06-05,830,N529AS,SJC,12:20:00,12:17:00,319,313,-3,12:40:00,23,0,0,0,0,0
AS,2023-06-05,834,N942AK,PDX,16:25:00,16:40:00,334,334,15,17:00:00,20,0,15,0,0,0
AS,2023-06-05,848,N924AK,SEA,23:20:00,23:11:00,353,367,-9,23:36:00,25,0,0,0,0,0
AS,2023-06-05,866,N448AS,LAX,10:55:00,10:54:00,344,334,-1,11:08:00,14,0,0,0,0,0
AS,2023-06-05,876,N559AS,SFO,13:50:00,13:39:00,322,320,-11,14:00:00,21,0,0,0,0,0
AS,2023-06-05,888,N588AS,SEA,11:20:00,11:17:00,353,335,-3,11:36:00,19,0,0,0,0,0
AS,2023-06-05,892,N592AS,SAN,15:15:00,15:08:00,344,297,-7,15:23:00,15,0,0,0,0,0
AS,2023-06-05,896,N972AK,SEA,14:40:00,14:39:00,351,348,-1,15:07:00,28,0,0,0,0,0
AS,2023-06-06,802,N478AS,SEA,21:10:00,20:59:00,353,369,-11,21:28:00,29,0,0,0,0,0
AS,2023-06-06,828,N921AK,ANC,22:55:00,22:47:00,365,350,-8,23:06:00,19,0,0,0,0,0
AS,2023-06-06,830,N935AK,SJC,12:20:00,12:25:00,319,0,5,12:44:00,19,0,0,0,0,0
AS,2023-06-06,834,N512AS,PDX,16:25:00,16:17:00,334,351,-8,16:43:00,26,0,0,0,0,0
AS,2023-06-06,848,N962AK,SEA,23:20:00,23:06:00,353,357,-14,23:28:00,22,0,0,0,0,0
AS,2023-06-06,866,N408AS,LAX,10:55:00,11:07:00,344,352,12,11:41:00,34,12,0,8,0,0
AS,2023-06-06,876,N594AS,SFO,13:50:00,14:02:00,322,324,12,14:24:00,22,0,0,0,0,0
AS,2023-06-06,888,N581AS,SEA,11:20:00,11:17:00,353,383,-3,12:00:00,43,0,0,27,0,0
AS,2023-06-06,892,N537AS,SAN,15:15:00,15:23:00,344,350,8,15:53:00,30,0,0,0,0,0
AS,2023-06-06,896,N958AK,SEA,14:40:00,14:38:00,351,352,-2,15:01:00,23,0,0,0,0,0
AS,2023-06-07,802,N961AK,SEA,21:10:00,20:53:00,353,341,-17,21:18:00,25,0,0,0,0,0
AS,2023-06-07,828,N955AK,ANC,22:55:00,22:44:00,365,357,-11,23:07:00,23,0,0,0,0,0
AS,2023-06-07,830,N469AS,SJC,12:20:00,12:34:00,319,321,14,12:58:00,24,1,0,2,0,13
AS,2023-06-07,834,N529AS,PDX,16:25:00,17:53:00,334,330,88,18:14:00,21,0,0,0,0,84
AS,2023-06-07,848,N472AS,SEA,23:20:00,23:10:00,353,345,-10,23:30:00,20,0,0,0,0,0
AS,2023-06-07,866,N583AS,LAX,10:55:00,10:46:00,344,346,-9,11:09:00,23,0,0,0,0,0
AS,2023-06-07,876,N537AS,SFO,13:50:00,13:40:00,322,324,-10,14:05:00,25,0,0,0,0,0
AS,2023-06-07,888,N926AK,SEA,11:20:00,12:00:00,353,354,40,12:29:00,29,12,0,1,0,28
AS,2023-06-07,892,N577AS,SAN,15:15:00,15:17:00,344,342,2,15:40:00,23,0,0,0,0,0
AS,2023-06-07,896,N949AK,SEA,14:40:00,14:32:00,351,345,-8,14:55:00,23,0,0,0,0,0
