carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-08-01,802,N468AS,SEA,20:45:00,20:28:00,349,347,-17,20:49:00,21,0,0,0,0,0
AS,2023-08-01,828,N938AK,ANC,21:45:00,21:41:00,367,375,-4,22:07:00,26,0,0,0,0,0
AS,2023-08-01,830,N964AK,SJC,12:40:00,12:44:00,312,304,4,13:07:00,23,0,0,0,0,0
AS,2023-08-01,834,N936AK,PDX,15:30:00,15:54:00,329,335,24,16:19:00,25,0,0,6,0,24
AS,2023-08-01,848,N558AS,SEA,23:29:00,23:23:00,350,355,-6,23:47:00,24,0,0,0,0,0
AS,2023-08-01,866,N924AK,LAX,15:15:00,15:10:00,333,325,-5,15:38:00,28,0,0,0,0,0
AS,2023-08-01,871,N929AK,SFO,22:55:00,22:48:00,310,302,-7,23:12:00,24,0,0,0,0,0
AS,2023-08-01,876,N462AS,SFO,11:15:00,11:18:00,312,311,3,11:46:00,28,0,0,0,0,0
AS,2023-08-01,881,N968AK,SEA,07:00:00,07:01:00,355,344,1,07:24:00,23,0,0,0,0,0
AS,2023-08-01,888,N955AK,SEA,10:35:00,10:48:00,355,355,13,11:12:00,24,0,0,0,0,0
AS,2023-08-01,892,N913AK,SAN,13:10:00,13:25:00,340,330,15,13:58:00,33,0,0,0,0,0
AS,2023-08-01,896,N931AK,SEA,14:05:00,14:01:00,356,352,-4,14:25:00,24,0,0,0,0,0
AS,2023-08-02,802,N407AS,SEA,20:45:00,20:39:00,349,351,-6,21:03:00,24,0,0,0,0,0
AS,2023-08-02,828,N967AK,ANC,21:45:00,21:37:00,367,457,-8,23:16:00,99,0,0,82,0,0
AS,2023-08-02,830,N977AK,SJC,12:40:00,12:35:00,312,303,-5,12:58:00,23,0,0,0,0,0
AS,2023-08-02,834,N915AK,PDX,15:30:00,15:50:00,329,332,20,16:09:00,19,6,0,3,0,14
AS,2023-08-02,848,N562AS,SEA,23:29:00,00:00:00,350,359,31,00:28:00,28,31,0,9,0,0
AS,2023-08-02,866,N918AK,LAX,15:15:00,15:10:00,333,320,-5,15:32:00,22,0,0,0,0,0
AS,2023-08-02,871,N954AK,SFO,22:55:00,23:32:00,310,299,37,23:49:00,17,26,0,0,0,0
AS,2023-08-02,876,N440AS,SFO,11:15:00,11:09:00,312,307,-6,11:37:00,28,0,0,0,0,0
AS,2023-08-02,881,N937AK,SEA,07:00:00,06:59:00,355,347,-1,07:24:00,25,0,0,0,0,0
AS,2023-08-02,888,N974AK,SEA,10:35:00,10:29:00,355,341,-6,10:47:00,18,0,0,0,0,0
AS,2023-08-02,892,N495AS,SAN,13:10:00,13:18:00,340,322,8,13:48:00,30,0,0,0,0,0
AS,2023-08-02,896,N971AK,SEA,14:05:00,14:25:00,356,349,20,14:42:00,17,0,0,0,0,0
AS,2023-08-03,802,N928AK,SEA,20:45:00,20:36:00,349,357,-9,21:00:00,24,0,0,0,0,0
AS,2023-08-03,828,N462AS,ANC,21:45:00,21:35:00,367,369,-10,21:59:00,24,0,0,0,0,0
AS,2023-08-03,830,N919AK,SJC,12:40:00,12:40:00,312,303,0,13:03:00,23,0,0,0,0,0
AS,2023-08-03,834,N442AS,PDX,15:30:00,15:43:00,329,338,13,16:03:00,20,0,0,9,0,13
AS,2023-08-03,848,N487AS,SEA,23:29:00,23:34:00,350,352,5,23:54:00,20,0,0,0,0,0
AS,2023-08-03,866,N934AK,LAX,15:15:00,15:11:00,333,332,-4,15:43:00,32,0,0,0,0,0
AS,2023-08-03,871,N564AS,SFO,22:55:00,22:46:00,310,308,-9,23:10:00,24,0,0,0,0,0
AS,2023-08-03,876,N495AS,SFO,11:15:00,11:15:00,312,302,0,11:33:00,18,0,0,0,0,0
AS,2023-08-03,881,N974AK,SEA,07:00:00,07:01:00,355,353,1,07:25:00,24,0,0,0,0,0
AS,2023-08-03,888,N935AK,SEA,10:35:00,11:16:00,355,348,41,11:38:00,22,0,0,0,0,34
AS,2023-08-03,892,N918AK,SAN,13:10:00,13:02:00,340,346,-8,13:54:00,52,0,0,0,0,0
AS,2023-08-03,896,N977AK,SEA,14:05:00,14:05:00,356,357,0,14:26:00,21,0,0,0,0,0
AS,2023-08-04,802,N924AK,SEA,20:45:00,20:41:00,349,341,-4,21:02:00,21,0,0,0,0,0
AS,2023-08-04,828,N442AS,ANC,21:45:00,21:32:00,367,367,-13,21:51:00,19,0,0,0,0,0
AS,2023-08-04,830,N408AS,SJC,12:40:00,12:47:00,312,296,7,13:09:00,22,0,0,0,0,0
