carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-05-01,802,N479AS,SEA,21:05:00,20:59:00,356,389,-6,21:28:00,29,0,0,27,0,0
AS,2023-05-01,828,N464AS,ANC,22:35:00,22:22:00,363,340,-13,22:48:00,26,0,0,0,0,0
AS,2023-05-01,830,N419AS,SJC,12:45:00,12:35:00,315,321,-10,13:01:00,26,0,0,0,0,0
AS,2023-05-01,834,N938AK,PDX,16:15:00,16:21:00,334,347,6,16:48:00,27,0,0,13,0,6
AS,2023-05-01,848,N467AS,SEA,23:10:00,23:07:00,351,365,-3,23:30:00,23,0,0,0,0,0
AS,2023-05-01,866,N942AK,LAX,14:50:00,14:42:00,336,340,-8,15:03:00,21,0,0,0,0,0
AS,2023-05-01,876,N531AS,SFO,13:40:00,13:47:00,320,359,7,14:27:00,40,7,0,39,0,0
AS,2023-05-01,888,N486AS,SEA,11:10:00,11:03:00,352,364,-7,11:29:00,26,0,0,0,0,0
AS,2023-05-01,892,N423AS,SAN,12:15:00,12:21:00,338,340,6,12:45:00,24,0,0,0,0,0
AS,2023-05-01,896,N913AK,SEA,15:05:00,15:21:00,354,348,16,15:39:00,18,0,0,0,0,0
AS,2023-05-02,802,N468AS,SEA,21:05:00,21:11:00,356,367,6,21:35:00,24,6,0,11,0,0
AS,2023-05-02,828,N457AS,ANC,22:35:00,22:33:00,363,370,-2,22:55:00,22,0,0,0,0,0
AS,2023-05-02,830,N920AK,SJC,12:45:00,12:38:00,315,314,-7,13:00:00,22,0,0,0,0,0
AS,2023-05-02,834,N913AK,PDX,16:15:00,17:32:00,334,339,77,17:53:00,21,77,0,5,0,0
AS,2023-05-02,848,N479AS,SEA,23:10:00,23:07:00,351,352,-3,23:29:00,22,0,0,0,0,0
AS,2023-05-02,866,N919AK,LAX,14:50:00,15:01:00,336,327,11,15:19:00,18,0,0,0,0,0
AS,2023-05-02,876,N534AS,SFO,13:40:00,14:41:00,320,313,61,15:04:00,23,0,0,0,0,54
AS,2023-05-02,888,N493AS,SEA,11:10:00,11:04:00,352,359,-6,11:30:00,26,0,0,0,0,0
AS,2023-05-02,892,N512AS,SAN,12:15:00,12:13:00,338,330,-2,12:32:00,19,0,0,0,0,0
AS,2023-05-02,896,N973AK,SEA,15:05:00,16:25:00,354,366,80,16:58:00,33,27,0,12,0,53
AS,2023-05-03,802,N926AK,SEA,21:05:00,21:01:00,356,371,-4,21:21:00,20,0,0,0,0,0
AS,2023-05-03,828,N467AS,ANC,22:35:00,22:28:00,363,378,-7,22:51:00,23,0,0,0,0,0
AS,2023-05-03,830,N440AS,SJC,12:45:00,12:41:00,315,310,-4,13:00:00,19,0,0,0,0,0
AS,2023-05-03,834,N920AK,PDX,16:15:00,16:09:00,334,340,-6,16:26:00,17,0,0,0,0,0
AS,2023-05-03,848,N921AK,SEA,23:10:00,23:33:00,351,360,23,23:52:00,19,10,0,9,0,13
AS,2023-05-03,866,N977AK,LAX,14:50:00,14:38:00,336,332,-12,15:09:00,31,0,0,0,0,0
AS,2023-05-03,876,N568AS,SFO,13:40:00,13:36:00,320,307,-4,13:50:00,14,0,0,0,0,0
AS,2023-05-03,888,N486AS,SEA,11:10:00,11:10:00,352,351,0,11:31:00,21,0,0,0,0,0
AS,2023-05-03,892,N474AS,SAN,12:15:00,12:09:00,338,321,-6,12:32:00,23,0,0,0,0,0
AS,2023-05-03,896,N469AS,SEA,15:05:00,15:11:00,354,367,6,15:29:00,18,0,0,13,0,6
AS,2023-05-04,802,N921AK,SEA,21:05:00,21:00:00,356,356,-5,21:19:00,19,0,0,0,0,0
AS,2023-05-04,828,N494AS,ANC,22:35:00,22:28:00,363,362,-7,22:45:00,17,0,0,0,0,0
AS,2023-05-04,830,N408AS,SJC,12:45:00,12:36:00,315,312,-9,13:02:00,26,0,0,0,0,0
AS,2023-05-04,834,N433AS,PDX,16:15:00,16:20:00,334,337,5,16:38:00,18,0,0,0,0,0
AS,2023-05-04,848,N467AS,SEA,23:10:00,23:03:00,351,374,-7,23:24:00,21,0,0,16,0,0
AS,2023-05-04,866,N975AK,LAX,14:50:00,14:40:00,336,332,-10,15:06:00,26,0,0,0,0,0
AS,2023-05-04,876,N512AS,SFO,13:40:00,14:07:00,320,329,27,14:43:00,36,27,0,9,0,0
AS,2023-05-04,888,N920AK,SEA,11:10:00,11:13:00,352,378,3,11:37:00,24,0,0,29,0,0
AS,2023-05-04,892,N471AS,SAN,12:15:00,12:11:00,338,356,-4,12:46:00,35,0,0,0,0,0
AS,2023-05-04,896,N403AS,SEA,15:05:00,15:35:00,354,354,30,15:56:00,21,4,0,0,0,26
AS,2023-05-05,802,N928AK,SEA,21:05:00,21:54:00,356,369,49,22:19:00,25,0,0,62,0,0
AS,2023-05-05,828,N468AS,ANC,22:35:00,22:49:00,363,371,14,23:13:00,24,6,0,8,0,8
AS,2023-05-05,830,N935AK,SJC,12:45:00,13:14:00,315,336,29,13:50:00,36,29,0,21,0,0
AS,2023-05-05,834,N924AK,PDX,16:15:00,16:31:00,334,350,16,17:01:00,30,0,0,16,0,16
AS,2023-05-05,848,N403AS,SEA,23:10:00,23:59:00,351,367,49,00:29:00,30,0,0,65,0,0
AS,2023-05-05,866,N941AK,LAX,14:50:00,15:25:00,336,335,35,15:45:00,20,34,0,0,0,0
AS,2023-05-05,876,N586AS,SFO,13:40:00,13:37:00,320,333,-3,14:11:00,34,0,0,0,0,0
AS,2023-05-05,888,N448AS,SEA,11:10:00,11:26:00,352,372,16,11:47:00,21,16,0,20,0,0
AS,2023-05-05,892,N481AS,SAN,12:15:00,12:20:00,338,328,5,12:41:00,21,0,0,0,0,0
AS,2023-05-05,896,N971AK,SEA,15:05:00,15:04:00,354,380,-1,15:42:00,38,0,0,25,0,0
AS,2023-05-06,802,N938AK,SEA,21:05:00,21:02:00,356,350,-3,21:28:00,26,0,0,0,0,0
AS,2023-05-06,828,N978AK,ANC,22:35:00,22:33:00,363,365,-2,22:55:00,22,0,0,0,0,0
