carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2024-06-01,802,N440AS,SEA,20:07:00,20:13:00,353,353,6,20:37:00,24,0,0,0,0,0
AS,2024-06-01,824,N919AK,SEA,07:00:00,07:00:00,350,356,0,07:17:00,17,0,0,0,0,0
AS,2024-06-01,828,N917AK,ANC,22:22:00,22:23:00,361,366,1,22:41:00,18,0,0,0,0,0
AS,2024-06-01,830,N969AK,SJC,15:41:00,15:54:00,318,322,13,16:12:00,18,13,0,4,0,0
AS,2024-06-01,834,N931AK,PDX,12:08:00,12:01:00,339,350,-7,12:31:00,30,0,0,0,0,0
AS,2024-06-01,848,N461AS,SEA,23:10:00,23:03:00,350,357,-7,23:24:00,21,0,0,0,0,0
AS,2024-06-01,866,N529AS,LAX,15:19:00,15:49:00,340,329,30,16:01:00,12,19,0,0,0,0
AS,2024-06-01,876,N913AK,SFO,13:26:00,13:55:00,323,351,29,14:17:00,22,29,0,28,0,0
AS,2024-06-01,888,N963AK,SEA,10:39:00,10:34:00,352,351,-5,10:54:00,20,0,0,0,0,0
AS,2024-06-01,892,N964AK,SAN,11:00:00,11:00:00,348,335,0,11:21:00,21,0,0,0,0,0
AS,2024-06-01,896,N984AK,SEA,14:00:00,14:13:00,353,360,13,14:42:00,29,13,0,7,0,0
AS,2024-06-02,802,N933AK,SEA,20:07:00,20:07:00,353,352,0,20:31:00,24,0,0,0,0,0
AS,2024-06-02,824,N464AS,SEA,07:00:00,06:57:00,350,353,-3,07:18:00,21,0,0,0,0,0
AS,2024-06-02,828,N706AL,ANC,22:22:00,22:13:00,361,351,-9,22:34:00,21,0,0,0,0,0
AS,2024-06-02,830,N956AK,SJC,15:41:00,16:15:00,318,316,34,16:35:00,20,0,0,0,0,32
AS,2024-06-02,834,N931AK,PDX,12:08:00,12:04:00,339,334,-4,12:22:00,18,0,0,0,0,0
AS,2024-06-02,848,N917AK,SEA,23:10:00,23:08:00,350,355,-2,23:28:00,20,0,0,0,0,0
AS,2024-06-02,866,N413AS,LAX,15:19:00,15:12:00,340,343,-7,15:34:00,22,0,0,0,0,0
AS,2024-06-02,876,N508AS,SFO,13:26:00,13:25:00,323,377,-1,13:49:00,24,0,0,53,0,0
AS,2024-06-02,888,N966AK,SEA,10:39:00,10:40:00,352,353,1,10:54:00,14,0,0,0,0,0
AS,2024-06-02,892,N926AK,SAN,11:00:00,10:59:00,348,344,-1,11:17:00,18,0,0,0,0,0
AS,2024-06-02,896,N920AK,SEA,14:00:00,14:02:00,353,354,2,14:20:00,18,0,0,0,0,0
AS,2024-06-03,802,N947AK,SEA,20:07:00,20:00:00,353,329,-7,20:16:00,16,0,0,0,0,0
AS,2024-06-03,824,N966AK,SEA,07:00:00,06:52:00,350,352,-8,07:17:00,25,0,0,0,0,0
AS,2024-06-03,828,N467AS,ANC,22:22:00,22:48:00,361,358,26,23:07:00,19,0,0,0,0,23
AS,2024-06-03,830,N978AK,SJC,15:41:00,15:41:00,318,307,0,15:56:00,15,0,0,0,0,0
AS,2024-06-03,834,N931AK,PDX,12:08:00,12:10:00,339,333,2,12:34:00,24,0,0,0,0,0
AS,2024-06-03,848,N937AK,SEA,23:10:00,23:12:00,350,333,2,23:28:00,16,0,0,0,0,0
AS,2024-06-03,866,N913AK,LAX,15:19:00,15:15:00,340,333,-4,15:32:00,17,0,0,0,0,0
AS,2024-06-03,876,N969AK,SFO,13:26:00,13:22:00,323,345,-4,13:51:00,29,0,0,18,0,0
AS,2024-06-03,888,N457AS,SEA,10:39:00,10:34:00,352,347,-5,10:53:00,19,0,0,0,0,0
AS,2024-06-03,892,N958AK,SAN,11:00:00,11:14:00,348,343,14,11:32:00,18,0,0,0,0,0
AS,2024-06-03,896,N926AK,SEA,14:00:00,14:20:00,353,343,20,14:36:00,16,0,0,0,0,0
AS,2024-06-04,802,N921AK,SEA,20:07:00,20:39:00,353,353,32,21:07:00,28,12,0,0,0,20
AS,2024-06-04,824,N968AK,SEA,07:00:00,06:57:00,350,332,-3,07:18:00,21,0,0,0,0,0
AS,2024-06-04,828,N968AK,ANC,22:22:00,22:18:00,361,373,-4,22:45:00,27,0,0,0,0,0
AS,2024-06-04,830,N953AK,SJC,15:41:00,15:54:00,318,314,13,16:27:00,33,0,0,0,0,0
AS,2024-06-04,834,N929AK,PDX,12:08:00,12:04:00,339,337,-4,12:26:00,22,0,0,0,0,0
AS,2024-06-04,848,N291BT,SEA,23:10:00,23:16:00,350,342,6,23:37:00,21,0,0,0,0,0
AS,2024-06-04,866,N932AK,LAX,15:19:00,15:27:00,340,323,8,15:54:00,27,0,0,0,0,0
AS,2024-06-04,876,N408AS,SFO,13:26:00,13:22:00,323,321,-4,13:48:00,26,0,0,0,0,0
AS,2024-06-04,888,N978AK,SEA,10:39:00,10:38:00,352,339,-1,11:00:00,22,0,0,0,0,0
AS,2024-06-04,892,N913AK,SAN,11:00:00,11:01:00,348,323,1,11:17:00,16,0,0,0,0,0
AS,2024-06-04,896,N483AS,SEA,14:00:00,14:04:00,353,352,4,14:30:00,26,0,0,0,0,0
AS,2024-06-05,802,N961AK,SEA,20:07:00,20:05:00,353,347,-2,20:47:00,42,0,0,0,0,0
AS,2024-06-05,824,N985AK,SEA,07:00:00,06:58:00,350,340,-2,07:22:00,24,0,0,0,0,0
AS,2024-06-05,828,N934AK,ANC,22:22:00,22:28:00,361,340,6,22:50:00,22,0,0,0,0,0
AS,2024-06-05,830,N407AS,SJC,15:41:00,16:56:00,318,316,75,17:32:00,36,0,0,0,0,73
AS,2024-06-05,834,N948AK,PDX,12:08:00,13:48:00,339,320,100,14:09:00,21,81,0,0,0,0
AS,2024-06-05,848,N917AK,SEA,23:10:00,23:08:00,350,344,-2,23:32:00,24,0,0,0,0,0
AS,2024-06-05,866,N486AS,LAX,15:19:00,15:43:00,340,331,24,16:03:00,20,0,0,0,0,15
AS,2024-06-05,876,N467AS,SFO,13:26:00,13:23:00,323,314,-3,13:53:00,30,0,0,0,0,0
AS,2024-06-05,888,N953AK,SEA,10:39:00,10:37:00,352,327,-2,10:56:00,19,0,0,0,0,0
AS,2024-06-05,892,N402AS,SAN,11:00:00,10:54:00,348,344,-6,11:19:00,25,0,0,0,0,0
AS,2024-06-05,896,N457AS,SEA,14:00:00,00:00:00,353,0,0,00:00:00,0,0,0,0,0,0
AS,2024-06-06,802,N407AS,SEA,20:07:00,20:03:00,353,339,-4,20:26:00,23,0,0,0,0,0
AS,2024-06-06,824,N953AK,SEA,07:00:00,07:06:00,350,326,6,07:27:00,21,0,0,0,0,0
AS,2024-06-06,828,N291BT,ANC,22:22:00,22:55:00,361,369,33,23:22:00,27,4,0,8,0,29
AS,2024-06-06,830,N464AS,SJC,15:41:00,16:36:00,318,304,55,17:01:00,25,0,0,0,0,41
AS,2024-06-06,834,N935AK,PDX,12:08:00,12:06:00,339,329,-2,12:30:00,24,0,0,0,0,0
AS,2024-06-06,848,N903AK,SEA,23:10:00,23:10:00,350,336,0,23:32:00,22,0,0,0,0,0
AS,2024-06-06,866,N530AS,LAX,15:19:00,16:26:00,340,318,67,16:34:00,8,45,0,0,0,0
AS,2024-06-06,876,N982AK,SFO,13:26:00,13:27:00,323,308,1,13:47:00,20,0,0,0,0,0
AS,2024-06-06,888,N537AS,SEA,10:39:00,10:40:00,352,343,1,11:12:00,32,0,0,0,0,0
AS,2024-06-06,892,N486AS,SAN,11:00:00,10:57:00,348,373,-3,11:22:00,25,0,0,22,0,0
AS,2024-06-06,896,N457AS,SEA,14:00:00,14:06:00,353,334,6,14:25:00,19,0,0,0,0,0
AS,2024-06-07,802,N956AK,SEA,20:07:00,20:04:00,353,338,-3,20:29:00,25,0,0,0,0,0
AS,2024-06-07,824,N487AS,SEA,07:00:00,09:17:00,350,331,137,09:41:00,24,118,0,0,0,0
AS,2024-06-07,828,N464AS,ANC,22:22:00,01:19:00,361,344,177,01:37:00,18,0,0,0,0,160
AS,2024-06-07,830,N929AK,SJC,15:41:00,16:33:00,318,299,52,16:51:00,18,0,0,0,0,33
AS,2024-06-07,834,N706AL,PDX,12:08:00,12:23:00,339,319,15,12:44:00,21,0,0,0,0,0
AS,2024-06-07,848,N291BT,SEA,23:10:00,23:04:00,350,346,-6,23:23:00,19,0,0,0,0,0
AS,2024-06-07,866,N972AK,LAX,15:19:00,15:35:00,340,320,16,15:50:00,15,0,0,0,0,0
AS,2024-06-07,876,N942AK,SFO,13:26:00,15:16:00,323,310,110,15:44:00,28,12,0,0,0,85
AS,2024-06-07,888,N464AS,SEA,10:39:00,11:02:00,352,333,23,11:22:00,20,0,0,0,0,0
AS,2024-06-07,892,N710AL,SAN,11:00:00,15:38:00,348,341,278,16:02:00,24,271,0,0,0,0
AS,2024-06-07,896,N964AK,SEA,14:00:00,14:01:00,353,344,1,14:29:00,28,0,0,0,0,0
AS,2024-06-08,802,N984AK,SEA,20:07:00,20:01:00,353,334,-6,20:22:00,21,0,0,0,0,0
AS,2024-06-08,824,N977AK,SEA,07:00:00,09:18:00,350,346,138,09:46:00,28,134,0,0,0,0
AS,2024-06-08,828,N402AS,ANC,22:22:00,22:46:00,361,350,24,23:12:00,26,0,0,0,0,0
AS,2024-06-08,830,N467AS,SJC,15:41:00,16:57:00,318,309,76,17:16:00,19,0,0,0,0,67
AS,2024-06-08,834,N508AS,PDX,12:08:00,11:55:00,339,329,-13,12:18:00,23,0,0,0,0,0
AS,2024-06-08,848,N929AK,SEA,23:10:00,00:51:00,350,344,101,01:11:00,20,0,0,0,0,95
AS,2024-06-08,866,N516AS,LAX,15:19:00,15:09:00,340,350,-10,15:40:00,31,0,0,0,0,0
AS,2024-06-08,876,N961AK,SFO,13:26:00,13:19:00,323,322,-7,13:43:00,24,0,0,0,0,0
AS,2024-06-08,888,N929AK,SEA,10:39:00,10:40:00,352,340,1,10:58:00,18,0,0,0,0,0
AS,2024-06-08,892,N408AS,SAN,11:00:00,10:57:00,348,354,-3,11:30:00,33,0,0,0,0,0
AS,2024-06-08,896,N937AK,SEA,14:00:00,15:54:00,353,328,114,16:11:00,17,89,0,0,0,0
AS,2024-06-09,802,N949AK,SEA,20:07:00,19:59:00,353,333,-8,20:21:00,22,0,0,0,0,0
AS,2024-06-09,824,N913AK,SEA,07:00:00,06:58:00,350,331,-2,07:15:00,17,0,0,0,0,0
AS,2024-06-09,828,N710AL,ANC,22:22:00,22:25:00,361,339,3,22:42:00,17,0,0,0,0,0
AS,2024-06-09,830,N921AK,SJC,15:41:00,15:41:00,318,310,0,16:02:00,21,0,0,0,0,0
AS,2024-06-09,834,N967AK,PDX,12:08:00,11:59:00,339,324,-9,12:19:00,20,0,0,0,0,0
AS,2024-06-09,848,N941AK,SEA,23:10:00,23:10:00,350,332,0,23:27:00,17,0,0,0,0,0
AS,2024-06-09,866,N926AK,LAX,15:19:00,15:15:00,340,337,-4,15:36:00,21,0,0,0,0,0
AS,2024-06-09,876,N956AK,SFO,13:26:00,13:17:00,323,314,-9,13:33:00,16,0,0,0,0,0
AS,2024-06-09,888,N975AK,SEA,10:39:00,10:37:00,352,335,-2,10:56:00,19,0,0,0,0,0
AS,2024-06-09,892,N912AK,SAN,11:00:00,10:55:00,348,338,-5,11:13:00,18,0,0,0,0,0
AS,2024-06-09,896,N479AS,SEA,14:00:00,13:54:00,353,345,-6,14:16:00,22,0,0,0,0,0
AS,2024-06-10,802,N492AS,SEA,20:07:00,20:16:00,353,338,9,20:49:00,33,0,0,0,0,0
AS,2024-06-10,824,N983AK,SEA,07:00:00,07:02:00,350,332,2,07:28:00,26,0,0,0,0,0
AS,2024-06-10,828,N706AL,ANC,22:22:00,22:17:00,361,357,-5,22:50:00,33,0,0,0,0,0
AS,2024-06-10,830,N953AK,SJC,15:41:00,15:35:00,318,319,-6,16:02:00,27,0,0,0,0,0
AS,2024-06-10,834,N967AK,PDX,12:08:00,12:21:00,339,317,13,12:46:00,25,0,0,0,0,0
AS,2024-06-10,848,N716AL,SEA,23:10:00,23:01:00,350,326,-9,23:25:00,24,0,0,0,0,0
AS,2024-06-10,866,N448AS,LAX,15:19:00,15:17:00,340,355,-2,15:43:00,26,0,0,0,0,0
AS,2024-06-10,876,N941AK,SFO,13:26:00,13:17:00,323,320,-9,13:41:00,24,0,0,0,0,0
AS,2024-06-10,888,N919AK,SEA,10:39:00,10:37:00,352,326,-2,10:56:00,19,0,0,0,0,0
AS,2024-06-10,892,N984AK,SAN,11:00:00,10:46:00,348,349,-14,11:10:00,24,0,0,0,0,0
AS,2024-06-10,896,N924AK,SEA,14:00:00,13:58:00,353,327,-2,14:13:00,15,0,0,0,0,0
AS,2024-06-11,802,N461AS,SEA,20:07:00,20:30:00,353,315,23,20:55:00,25,0,0,0,0,0
AS,2024-06-11,824,N919AK,SEA,07:00:00,06:56:00,350,318,-4,07:19:00,23,0,0,0,0,0
AS,2024-06-11,828,N936AK,ANC,22:22:00,22:22:00,361,358,0,22:48:00,26,0,0,0,0,0
AS,2024-06-11,830,N428AS,SJC,15:41:00,16:28:00,318,314,47,16:53:00,25,0,0,0,0,43
AS,2024-06-11,834,N967AK,PDX,12:08:00,12:17:00,339,310,9,12:38:00,21,0,0,0,0,0
AS,2024-06-11,848,N440AS,SEA,23:10:00,23:04:00,350,326,-6,23:27:00,23,0,0,0,0,0
AS,2024-06-11,866,N487AS,LAX,15:19:00,15:20:00,340,332,1,15:41:00,21,0,0,0,0,0
