carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2024-08-01,293,N577AS,SEA,23:00:00,23:28:00,350,333,28,23:45:00,17,0,0,0,0,0
AS,2024-08-01,571,N972AK,SFO,21:35:00,21:37:00,310,303,2,22:04:00,27,0,0,0,0,0
AS,2024-08-01,802,N968AK,SEA,20:10:00,20:05:00,350,322,-5,20:24:00,19,0,0,0,0,0
AS,2024-08-01,816,N975AK,SEA,10:32:00,10:56:00,353,336,24,11:18:00,22,0,0,0,0,0
AS,2024-08-01,828,N495AS,ANC,21:07:00,21:29:00,373,353,22,21:51:00,22,0,0,0,0,0
AS,2024-08-01,830,N977AK,SJC,15:48:00,15:47:00,311,301,-1,16:09:00,22,0,0,0,0,0
AS,2024-08-01,834,N708AL,PDX,12:00:00,12:16:00,330,331,16,12:46:00,30,0,0,1,0,16
AS,2024-08-01,866,N933AK,LAX,14:05:00,14:10:00,340,323,5,14:42:00,32,0,0,0,0,0
AS,2024-08-01,876,N448AS,SFO,13:18:00,13:13:00,307,287,-5,13:33:00,20,0,0,0,0,0
AS,2024-08-01,888,N960AK,SEA,07:00:00,07:00:00,353,344,0,07:24:00,24,0,0,0,0,0
AS,2024-08-01,892,N961AK,SAN,11:04:00,11:09:00,337,328,5,11:33:00,24,0,0,0,0,0
AS,2024-08-01,896,N956AK,SEA,15:09:00,16:12:00,350,328,63,16:30:00,18,0,0,0,0,41
AS,2024-08-01,1110,N932AK,SAN,22:38:00,23:10:00,337,338,32,23:31:00,21,12,0,1,0,20
AS,2024-08-02,293,N579AS,SEA,23:00:00,23:16:00,350,339,16,23:35:00,19,0,0,0,0,0
AS,2024-08-02,571,N703AL,SFO,21:35:00,21:40:00,310,306,5,22:06:00,26,0,0,0,0,0
AS,2024-08-02,802,N920AK,SEA,20:10:00,20:03:00,350,335,-7,20:23:00,20,0,0,0,0,0
AS,2024-08-02,816,N955AK,SEA,10:32:00,10:34:00,353,337,2,10:53:00,19,0,0,0,0,0
AS,2024-08-02,828,N917AK,ANC,21:07:00,21:06:00,373,335,-1,21:25:00,19,0,0,0,0,0
AS,2024-08-02,830,N931AK,SJC,15:48:00,15:50:00,311,286,2,16:07:00,17,0,0,0,0,0
